NCBI_taxon_ID,name,rank,normalized_reads
1,root,R,147868.0292516047
131567,  cellular organisms,R1,147823.42064434796
2,    Bacteria,D,140646.78950728034
1224,      Proteobacteria,P,61765.6050788278
1783272,      Terrabacteria group,D1,28909.78075682052
1783270,      FCB group,D1,21887.767927616842
68336,        Bacteroidetes/Chlorobi group,D2,21402.40789909344
976,          Bacteroidetes,P,20093.080674213343
1239,        Firmicutes,P,19850.75030938147
68525,        delta/epsilon subdivisions,P1,18514.163748953175
1236,        Gammaproteobacteria,C,18257.254667894813
28221,          Deltaproteobacteria,C,16349.48079890166
28216,        Betaproteobacteria,C,12587.785733097806
69541,            Desulfuromonadales,O,12507.113284650366
186801,          Clostridia,C,11239.144592326913
186802,            Eubacteriales,O,11054.862692835406
200643,            Bacteroidia,C,9195.5868647565
171549,              Bacteroidales,O,8533.883643795942
28211,        Alphaproteobacteria,C,7695.6840506480185
213422,              Geobacteraceae,F,7111.423183402215
2157,    Archaea,D,7056.691392653346
28890,      Euryarchaeota,P,6658.150982553193
0,unclassified,U,5108.011870365043
201174,        Actinobacteria,P,4695.299003375915
31979,              Clostridiaceae,F,4592.562010909129
80840,          Burkholderiales,O,4374.28752684933
1760,          Actinomycetia,C,4235.040473919499
28231,                Geobacter,G,4167.368324272474
72274,          Pseudomonadales,O,3846.8630069204946
135621,            Pseudomonadaceae,F,3827.848737927063
1485,                Clostridium,G,3765.9641188423116
2283794,        Methanomada group,P1,3744.3058341604765
183925,          Methanobacteria,C,3743.2935158112637
2158,            Methanobacteriales,O,3743.2935158112637
2159,              Methanobacteriaceae,F,3729.2542587050802
2005520,                Dysgonomonadaceae,F,3238.8193184573374
91061,          Bacilli,C,3103.1553396845875
286,              Pseudomonas,G,2915.370285905675
2160,                Methanobacterium,G,2861.9638329955774
2290931,        Stenosarchaea group,P1,2848.5306349010934
224756,          Methanomicrobia,C,2844.887620841757
356,          Hyphomicrobiales,O,2703.7890909311295
135622,          Alteromonadales,O,2536.2837040821637
200644,              Flavobacteriales,O,2340.519983314063
117743,            Flavobacteriia,C,2340.519983314063
267890,            Shewanellaceae,F,2285.794852554334
143067,              Methanotrichaceae,F,2189.9376288687085
2905377,            Methanotrichales,O,2189.9376288687085
2222,                Methanothrix,G,2189.9376288687085
29547,          Epsilonproteobacteria,C,2133.1545614648567
22,              Shewanella,G,2132.475242572622
213849,            Campylobacterales,O,2124.2834559309686
213421,              Desulfuromonadaceae,F,1926.9945976499096
890,                Desulfuromonas,G,1926.9346577476535
1385,            Bacillales,O,1872.6424262819953
